"County","State","Year","No. ofBEACHActBeaches","No. ofMonitoredBeaches","Percent ofTotalBeachesMonitored","TotalLengthof MonitoredBeaches(Mi)","No. ofTier 1Beaches","No. ofTier 1MonitoredBeaches","Percent ofTier 1BeachesMonitored","No. ofMonitoredBeacheswithActions","No. ofMonitoredBeacheswithoutActions","Percent ofMonitoredBeachesAffectedby aBeachAction","TotalNo.of BeachActions","No. of Actions Lessthan 1 Day Duration","Percent ofActionsLess than1 DayDuration","No. ofActions of1 DayDuration","Percent ofActions of1 DayDuration","No. ofActions of2 DayDuration","Percent ofActions of2 DayDuration","No. ofActions of3 - 7 DayDuration","Percent ofActions of3 - 7 DayDuration","No. ofActions of8 - 30 DayDuration","Percent  ofActions of8 - 30 DayDuration","No. ofActionsGreaterthan30 DayDuration","Percent ofActionsGreaterthan30 DayDuration","No. ofBeachDays(MonitoredBeaches)","No. ofDaysUndera BeachAction(MonitoredBeaches)","PercentDaysUnder aBeachAction(MonitoredBeaches)","No. ofDaysNot Undera BeachAction(MonitoredBeaches)","PercentDaysNot Under aBeachAction(MonitoredBeaches)"
"TEST","CN","2017","2","2","100","200","2","2","100","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","333","0","0","333","100"
"THURSTON","WA","2018","34","2","5.88","2","2","2","100","1","1","50","2","0","0","0","0","0","0","0","0","0","0","2","100","210","364","173.33","105","50"
"THURSTON","WA","2017","34","2","5.88","2","2","2","100","1","1","50","2","0","0","0","0","0","0","0","0","0","0","2","100","210","364","173.33","105","50"
"TILLAMOOK","OR","2018","10","4","40","8","3","3","100","2","2","50","2","0","0","0","0","1","50","1","50","0","0","0","0","408","9","2.21","399","97.79"
"TILLAMOOK","OR","2017","10","4","40","8","3","3","100","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","408","0","0","408","100"
"TINIAN","MP","2018","7","7","100","0","7","7","100","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2548","0","0","2548","100"
"TINIAN","MP","2017","7","7","100","0","7","7","100","5","2","71.43","5","0","0","0","0","5","100","0","0","0","0","0","0","2548","10",".39","2538","99.61"
"TOA BAJA","PR","2018","1","1","100","1","1","1","100","1","0","100","3","0","0","0","0","0","0","3","100","0","0","0","0","364","17","4.67","347","95.33"
"TOA BAJA","PR","2017","1","1","100","1","1","1","100","1","0","100","6","0","0","0","0","0","0","3","50","3","50","0","0","364","49","13.46","315","86.54"
"VAN BUREN","MI","2018","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"VAN BUREN","MI","2017","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"VEGA BAJA","PR","2018","1","1","100","0","1","1","100","1","0","100","1","0","0","0","0","0","0","1","100","0","0","0","0","364","6","1.65","358","98.35"
"VEGA BAJA","PR","2017","1","1","100","0","1","1","100","1","0","100","5","0","0","0","0","0","0","2","40","3","60","0","0","364","57","15.66","307","84.34"
"VENTURA","CA","2018","27","27","100","21","27","27","100","27","0","100","140","0","0","8","5.71","1",".71","63","45","68","48.57","0","0","9828","1330","13.53","8498","86.47"
"VENTURA","CA","2017","27","27","100","21","27","27","100","27","0","100","215","0","0","4","1.86","30","13.95","86","40","95","44.19","0","0","9828","1451","14.76","8377","85.24"
"VIRGINIA BEACH","VA","2018","22","22","100","24","22","22","100","5","17","22.73","6","0","0","5","83.33","0","0","1","16.67","0","0","0","0","3366","12",".36","3354","99.64"
"VIRGINIA BEACH","VA","2017","22","22","100","24","22","22","100","7","15","31.82","13","0","0","12","92.31","1","7.69","0","0","0","0","0","0","3366","14",".42","3352","99.58"
"VOLUSIA","FL","2018","16","13","81.25","38","14","13","92.86","3","10","23.08","3","0","0","0","0","1","33.33","2","66.67","0","0","0","0","4732","10",".21","4722","99.79"
"VOLUSIA","FL","2017","16","13","81.25","38","14","13","92.86","1","12","7.69","1","0","0","1","100","0","0","0","0","0","0","0","0","4732","1",".02","4731","99.98"
"WAKULLA","FL","2018","2","2","100","9","2","2","100","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","488","0","0","488","100"
"WAKULLA","FL","2017","2","2","100","9","2","2","100","1","1","50","1","0","0","0","0","0","0","1","100","0","0","0","0","488","5","1.02","483","98.98"
"WALDO","ME","2018","2","1","50","0","1","1","100","1","0","100","3","0","0","0","0","1","33.33","0","0","2","66.67","0","0","98","19","19.39","79","80.61"
"WALDO","ME","2017","2","1","50","0","1","1","100","1","0","100","2","0","0","0","0","1","50","1","50","0","0","0","0","98","6","6.12","92","93.88"
"WALTON","FL","2018","12","7","58.33","20","7","7","100","6","1","85.71","16","0","0","0","0","0","0","14","87.5","2","12.5","0","0","1708","109","6.38","1599","93.62"
"WALTON","FL","2017","12","7","58.33","20","7","7","100","2","5","28.57","2","0","0","0","0","0","0","2","100","0","0","0","0","1708","12",".7","1696","99.3"
"WASHINGTON","RI","2018","24","24","100","8","6","6","100","0","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2393","0","0","2393","100"
"WASHINGTON","ME","2018","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"WASHINGTON","RI","2017","24","24","100","8","6","6","100","0","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2393","0","0","2393","100"
"WAYNE","MI","2018","2","1","50","0","1","1","100","1","0","100","1","0","0","0","0","1","100","0","0","0","0","0","0","101","2","1.98","99","98.02"
"WAYNE","NY","2018","3","1","33.33","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","100","100"
"WAYNE","NY","2017","3","1","33.33","0","0","0","0","1","0","100","1","0","0","1","100","0","0","0","0","0","0","0","0","100","1","1","99","99"
"WAYNE","MI","2017","2","1","50","0","1","1","100","0","1","0","2","0","0","0","0","0","0","2","100","0","0","0","0","101","0","0","101","100"
"WESTCHESTER","NY","2018","22","22","100","9","15","15","100","12","10","54.55","81","0","0","13","16.05","32","39.51","36","44.44","0","0","0","0","2204","185","8.39","2019","91.61"
"WESTCHESTER","NY","2017","22","22","100","9","15","15","100","16","6","72.73","79","0","0","0","0","60","75.95","19","24.05","0","0","0","0","2204","177","8.03","2027","91.97"
"WESTERN DISTRICT","AS","2018","7","7","100","1","0","0","0","5","2","71.43","74","0","0","0","0","1","1.35","73","98.65","0","0","0","0","2548","507","19.9","2041","80.1"
"WESTERN DISTRICT","AS","2017","7","7","100","1","0","0","0","5","2","71.43","58","0","0","0","0","0","0","58","100","0","0","0","0","2548","396","15.54","2152","84.46"
"WHATCOM","WA","2018","55","4","7.27","4","4","4","100","1","3","25","1","0","0","0","0","0","0","0","0","0","0","1","100","420","364","86.67","315","75"
"WHATCOM","WA","2017","55","4","7.27","4","4","4","100","1","3","25","1","0","0","0","0","0","0","0","0","0","0","1","100","420","364","86.67","315","75"
"WILLACY","TX","2018","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"WILLACY","TX","2017","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"WORCESTER","MD","2018","10","10","100","12","10","10","100","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","980","0","0","980","100"
"WORCESTER","MD","2017","10","10","100","12","10","10","100","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","980","0","0","980","100"
"WRANGELL","AK","2018","2","2","100","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","102","0","0","102","100"
"WRANGELL","AK","2017","2","2","100","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","102","0","0","102","100"
"YABUCOA","PR","2018","1","1","100","0","1","1","100","1","0","100","10","0","0","0","0","0","0","4","40","6","60","0","0","364","105","28.85","259","71.15"
"YABUCOA","PR","2017","1","1","100","0","1","1","100","1","0","100","6","0","0","1","16.67","0","0","2","33.33","2","33.33","1","16.67","364","104","28.57","260","71.43"
"YORK","ME","2018","38","35","92.11","20","27","27","100","20","15","57.14","43","0","0","22","51.16","8","18.6","11","25.58","2","4.65","0","0","3430","96","2.8","3334","97.2"
"YORK","VA","2018","1","1","100","0","1","1","100","1","0","100","2","0","0","2","100","0","0","0","0","0","0","0","0","153","2","1.31","151","98.69"
"YORK","ME","2017","38","35","92.11","20","27","27","100","9","26","25.71","12","0","0","2","16.67","8","66.67","2","16.67","0","0","0","0","3430","26",".76","3404","99.24"
"YORK","VA","2017","1","1","100","0","1","1","100","1","0","100","2","0","0","2","100","0","0","0","0","0","0","0","0","153","2","1.31","151","98.69"
