"County","State","Year","No. ofBEACHActBeaches","No. ofMonitoredBeaches","Percent ofTotalBeachesMonitored","TotalLengthof MonitoredBeaches(Mi)","No. ofTier 1Beaches","No. ofTier 1MonitoredBeaches","Percent ofTier 1BeachesMonitored","No. ofMonitoredBeacheswithActions","No. ofMonitoredBeacheswithoutActions","Percent ofMonitoredBeachesAffectedby aBeachAction","TotalNo.of BeachActions","No. of Actions Lessthan 1 Day Duration","Percent ofActionsLess than1 DayDuration","No. ofActions of1 DayDuration","Percent ofActions of1 DayDuration","No. ofActions of2 DayDuration","Percent ofActions of2 DayDuration","No. ofActions of3 - 7 DayDuration","Percent ofActions of3 - 7 DayDuration","No. ofActions of8 - 30 DayDuration","Percent  ofActions of8 - 30 DayDuration","No. ofActionsGreaterthan30 DayDuration","Percent ofActionsGreaterthan30 DayDuration","No. ofBeachDays(MonitoredBeaches)","No. ofDaysUndera BeachAction(MonitoredBeaches)","PercentDaysUnder aBeachAction(MonitoredBeaches)","No. ofDaysNot Undera BeachAction(MonitoredBeaches)","PercentDaysNot Under aBeachAction(MonitoredBeaches)"
"MENOMINEE","MI","2018","8","2","25","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","210","0","0","210","100"
"MENOMINEE","MI","2017","8","2","25","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","210","0","0","210","100"
"MIAMI-DADE","FL","2018","19","16","84.21","17","16","16","100","11","5","68.75","16","0","0","2","12.5","0","0","12","75","2","12.5","0","0","5704","98","1.72","5606","98.28"
"MIAMI-DADE","FL","2017","19","16","84.21","17","16","16","100","9","7","56.25","10","0","0","1","10","1","10","8","80","0","0","0","0","5704","46",".81","5658","99.19"
"MIDDLESEX","NJ","2018","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"MIDDLESEX","CT","2018","4","4","100","1","4","4","100","3","1","75","3","0","0","3","100","0","0","0","0","0","0","0","0","-1068","3","-.28","-267","25"
"MIDDLESEX","CT","2017","4","4","100","1","4","4","100","2","2","50","3","0","0","0","0","0","0","3","100","0","0","0","0","-1068","10","-.94","-534","50"
"MILWAUKEE","WI","2018","13","9","69.23","3","2","2","100","9","0","100","112","0","0","64","57.14","23","20.54","25","22.32","0","0","0","0","882","185","20.98","697","79.02"
"MILWAUKEE","WI","2017","13","9","69.23","3","2","2","100","8","1","88.89","78","0","0","50","64.1","11","14.1","17","21.79","0","0","0","0","882","137","15.53","745","84.47"
"MOBILE","AL","2018","4","4","100","6","0","0","0","2","2","50","4","0","0","2","50","0","0","2","50","0","0","0","0","608","14","2.3","594","97.7"
"MOBILE","AL","2017","4","4","100","6","0","0","0","2","2","50","6","0","0","5","83.33","1","16.67","0","0","0","0","0","0","608","7","1.15","601","98.85"
"MONMOUTH","NJ","2018","96","44","45.83","3","45","44","97.78","23","21","52.27","67","0","0","67","100","0","0","0","0","0","0","0","0","5852","67","1.14","5785","98.86"
"MONMOUTH","NJ","2017","75","44","58.67","3","45","44","97.78","23","21","52.27","44","0","0","44","100","0","0","0","0","0","0","0","0","5852","44",".75","5808","99.25"
"MONROE","NY","2018","5","5","100","4","5","5","100","5","0","100","26","0","0","9","34.62","15","57.69","2","7.69","0","0","0","0","381","46","12.07","335","87.93"
"MONROE","MI","2018","2","2","100","1","1","1","100","2","0","100","4","0","0","4","100","0","0","0","0","0","0","0","0","202","4","1.98","198","98.02"
